name,code,category,brand,Barcode symbol,product cost,product price,product unit,sale unit,purchase unit,stock alert,order tax Percentage,tax type,Notes,Warehouse,supplier,quantity,status
Bock 60cl,88000001,Bieres,SOLIBRA,CODE128,350,600,piece,Piece,Piece,20,0,EXCLUSIVE,Biere blonde ivoirienne 60cl,warehouse,demo supplier,120,received
Bock 33cl,88000002,Bieres,SOLIBRA,CODE128,220,400,piece,Piece,Piece,20,0,EXCLUSIVE,Biere blonde ivoirienne 33cl,warehouse,demo supplier,150,received
Bock Canette 50cl,88000003,Bieres,SOLIBRA,CODE128,300,550,piece,Piece,Piece,15,0,EXCLUSIVE,Bock en canette 50cl,warehouse,demo supplier,100,received
Flag Speciale 65cl,88000004,Bieres,SOLIBRA,CODE128,420,750,piece,Piece,Piece,20,0,EXCLUSIVE,Flag Speciale 65cl,warehouse,demo supplier,100,received
Flag 33cl,88000005,Bieres,SOLIBRA,CODE128,280,500,piece,Piece,Piece,20,0,EXCLUSIVE,Flag 33cl,warehouse,demo supplier,120,received
Flag Pils 65cl,88000006,Bieres,SOLIBRA,CODE128,400,700,piece,Piece,Piece,15,0,EXCLUSIVE,Flag Pils 65cl,warehouse,demo supplier,80,received
Castel Beer 65cl,88000007,Bieres,Castel,CODE128,450,800,piece,Piece,Piece,20,0,EXCLUSIVE,Castel Beer 65cl,warehouse,demo supplier,90,received
Castel Beer 33cl,88000008,Bieres,Castel,CODE128,280,500,piece,Piece,Piece,20,0,EXCLUSIVE,Castel Beer 33cl,warehouse,demo supplier,110,received
Beaufort 65cl,88000009,Bieres,SOLIBRA,CODE128,450,800,piece,Piece,Piece,15,0,EXCLUSIVE,Beaufort Lager 65cl,warehouse,demo supplier,80,received
Ivoire Biere 65cl,88000010,Bieres,SOLIBRA,CODE128,380,650,piece,Piece,Piece,15,0,EXCLUSIVE,Biere Ivoire 65cl,warehouse,demo supplier,70,received
Doppel Munich 65cl,88000011,Bieres,SOLIBRA,CODE128,500,900,piece,Piece,Piece,10,0,EXCLUSIVE,Biere brune Doppel Munich,warehouse,demo supplier,60,received
Guinness Foreign Extra 60cl,88000012,Bieres,Guinness,CODE128,550,1000,piece,Piece,Piece,15,0,EXCLUSIVE,Guinness FES 60cl,warehouse,demo supplier,80,received
Guinness Smooth 33cl,88000013,Bieres,Guinness,CODE128,400,700,piece,Piece,Piece,15,0,EXCLUSIVE,Guinness Smooth 33cl,warehouse,demo supplier,70,received
Heineken 33cl,88000014,Bieres,Heineken,CODE128,400,700,piece,Piece,Piece,20,0,EXCLUSIVE,Heineken 33cl,warehouse,demo supplier,100,received
Heineken 65cl,88000015,Bieres,Heineken,CODE128,650,1100,piece,Piece,Piece,10,0,EXCLUSIVE,Heineken 65cl,warehouse,demo supplier,50,received
Desperados 33cl,88000016,Bieres,Heineken,CODE128,450,800,piece,Piece,Piece,10,0,EXCLUSIVE,Desperados tequila 33cl,warehouse,demo supplier,60,received
33 Export 65cl,88000017,Bieres,Castel,CODE128,420,750,piece,Piece,Piece,15,0,EXCLUSIVE,33 Export 65cl,warehouse,demo supplier,70,received
Budweiser 33cl,88000018,Bieres,Budweiser,CODE128,400,700,piece,Piece,Piece,10,0,EXCLUSIVE,Budweiser 33cl,warehouse,demo supplier,60,received
